run_dir,run_name,organism,replica_count,sample_index,protein_length,num_fragments,fragment_bin,true_order_recovered,completed,shuffled_exact_match,shuffled_similarity,shuffled_edit_similarity,shuffled_adjacent_pair_acc,shuffled_longest_correct_run,shuffled_kendall_tau,deterministic_exact_match,deterministic_similarity,deterministic_edit_similarity,deterministic_adjacent_pair_acc,deterministic_longest_correct_run,deterministic_kendall_tau,control_exact_match,control_similarity,control_edit_similarity,control_adjacent_pair_acc,control_longest_correct_run,control_kendall_tau,agentic_exact_match,agentic_similarity,agentic_edit_similarity,agentic_adjacent_pair_acc,agentic_longest_correct_run,agentic_kendall_tau,oracle_exact_match,oracle_similarity,oracle_edit_similarity,oracle_adjacent_pair_acc,oracle_longest_correct_run,oracle_kendall_tau,nterm_correct,nterm_correct_shuffled,breakpoints,breakpoints_normalized,error_class,validity_concordance,validity_comparable_pairs,best_iteration,num_iterations,best_validity_score,first_pass_validity_score,control_validity_score,control_best_iteration,llm_calls,llm_tokens,llm_failures,duration_seconds,agentic_duration_seconds,control_duration_seconds,num_pruned,total_junctions,pruned_pct,num_confirmed_adjacencies
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,1,321,33,20-49,1,1,0.0,0.018691588785046728,,0.0,0.030303030303030304,-0.015151515151515152,0.0,0.021806853582554516,0.47040498442367606,0.09375,0.06060606060606061,0.045454545454545456,0.0,0.14953271028037382,0.20560747663551404,0.5,0.18181818181818182,0.21212121212121213,0.0,0.14953271028037382,0.2149532710280374,0.4375,0.12121212121212122,0.2159090909090909,0.0,0.14953271028037382,0.47040498442367606,0.46875,0.18181818181818182,0.23863636363636365,1,0,18.0,0.5625,partial_assembly,0.8888888888888888,9,5,5,17.589020612607886,25.300158372771985,17.524451933725537,4,4,5926,0,53.04201674461365,46.249594926834106,6.655414342880249,32,1056,3.0303030303030303,14
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,2,862,68,50+,1,1,0.0,0.05916473317865429,,0.029850746268656716,0.029411764705882353,0.1466198419666374,0.0,0.02088167053364269,0.20649651972157768,0.13432835820895522,0.04411764705882353,0.11852502194907814,0.0,0.02088167053364269,0.2621809744779582,0.2835820895522388,0.058823529411764705,0.11237928007023705,0.0,0.05336426914153132,0.29118329466357307,0.31343283582089554,0.058823529411764705,0.10798946444249341,0.0,0.08468677494199536,0.29118329466357307,0.31343283582089554,0.058823529411764705,0.11852502194907814,1,0,46.0,0.6865671641791045,partial_assembly,0.8888888888888888,9,5,5,16.210241877804805,21.748339435638297,16.66174145508905,5,4,5852,0,160.70960879325867,111.53543019294739,49.023316621780396,67,4556,1.4705882352941175,25
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,3,763,49,20-49,1,1,0.0,0.007863695937090432,,0.020833333333333332,0.04081632653061224,-0.011904761904761904,0.0,0.1834862385321101,0.36041939711664484,0.1875,0.04081632653061224,-0.04081632653061224,0.0,0.03014416775884666,0.33944954128440363,0.2708333333333333,0.16326530612244897,0.24489795918367346,0.0,0.027522935779816515,0.27522935779816515,0.2708333333333333,0.16326530612244897,0.26700680272108845,0.0,0.1834862385321101,0.36041939711664484,0.3125,0.16326530612244897,0.35374149659863946,1,0,35.0,0.7291666666666666,partial_assembly,0.8571428571428571,7,3,5,17.67974360189737,21.67135033074305,17.626370045145787,2,4,5777,0,75.86689591407776,63.79772186279297,11.935589075088501,48,2352,2.0408163265306123,16
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,4,130,14,10-19,1,1,0.0,0.2923076923076923,,0.15384615384615385,0.21428571428571427,-0.23076923076923078,0.0,0.6692307692307692,0.4307692307692308,0.46153846153846156,0.21428571428571427,0.38461538461538464,0.0,0.5230769230769231,0.29230769230769227,0.46153846153846156,0.2857142857142857,0.45054945054945056,0.0,0.5230769230769231,0.17692307692307696,0.5384615384615384,0.2857142857142857,0.4945054945054945,0.0,0.6692307692307692,0.4307692307692308,0.5384615384615384,0.2857142857142857,0.4945054945054945,1,0,6.0,0.46153846153846156,partial_assembly,1.0,6,3,5,11.957657381649392,14.904905096681102,11.982097133481957,5,4,6151,0,33.623961210250854,30.414710998535156,3.057286262512207,0,182,0.0,7
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,5,58,5,5-9,1,1,0.0,0.7758620689655172,,0.25,0.4,0.0,0.0,0.8448275862068966,0.6896551724137931,0.5,0.4,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,exact,1.0,4,2,5,14.645804533045485,15.408619462805166,14.645804533045485,3,4,5926,0,27.36442732810974,25.008451461791992,2.211718797683716,4,20,20.0,2
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,6,210,4,2-4,1,1,0.0,0.9761904761904762,,0.0,0.25,0.0,0.0,0.9904761904761905,0.9809523809523809,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,exact,1.0,4,2,5,19.79870329771205,23.107166290063724,19.79870329771205,2,4,6227,0,28.391895294189453,25.741127014160156,2.5079948902130127,3,12,25.0,1
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,7,1017,74,50+,1,1,0.0,0.010816125860373648,,0.0273972602739726,0.02702702702702703,0.10181414291003332,0.0,0.04129793510324484,0.23303834808259583,0.2465753424657534,0.05405405405405406,0.0033320992225101815,0.0,0.00983284169124877,0.2271386430678466,0.3424657534246575,0.05405405405405406,-0.07367641614216956,0.0,0.00983284169124877,0.24188790560471973,0.3287671232876712,0.05405405405405406,-0.027767493520918177,0.0,0.04129793510324484,0.2743362831858407,0.3287671232876712,0.06756756756756757,0.0033320992225101815,0,0,49.0,0.6712328767123288,wrong_start,0.8888888888888888,9,4,5,18.060301962554384,21.05767260630787,18.216744188792056,5,4,5672,0,136.4705367088318,83.09098529815674,53.23819613456726,0,5402,0.0,31
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,8,133,10,10-19,1,1,0.0,0.924812030075188,,0.2222222222222222,0.3,-0.15555555555555556,0.0,0.8571428571428571,0.7142857142857143,0.3333333333333333,0.2,-0.1111111111111111,0.0,0.924812030075188,0.849624060150376,0.4444444444444444,0.3,0.6,0.0,0.924812030075188,0.849624060150376,0.4444444444444444,0.3,0.6,0.0,0.924812030075188,0.849624060150376,0.4444444444444444,0.4,0.6,1,0,5.0,0.5555555555555556,partial_assembly,1.0,4,3,5,14.502790894884857,19.118734536425382,14.502790894884857,2,4,5889,0,30.2248432636261,27.328572273254395,2.7641642093658447,9,90,10.0,4
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,9,543,20,20-49,1,1,0.0,0.0,,0.15789473684210525,0.1,-0.10526315789473684,0.0,0.003683241252302026,0.24125230202578274,0.3684210526315789,0.2,0.30526315789473685,0.0,0.003683241252302026,0.30939226519337015,0.5263157894736842,0.35,0.3263157894736842,0.0,0.003683241252302026,0.3351749539594844,0.5263157894736842,0.25,0.3368421052631579,0.0,0.0055248618784530384,0.5524861878453038,0.631578947368421,0.35,0.5368421052631579,1,0,9.0,0.47368421052631576,partial_assembly,0.5714285714285714,7,4,5,14.290681652067494,17.557258656415488,14.156850229799474,4,4,5999,0,42.69678282737732,33.82434391975403,8.737133741378784,19,380,5.0,8
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,10,662,52,50+,1,1,0.0,0.04229607250755287,,0.0196078431372549,0.038461538461538464,0.048265460030165915,0.0,0.04078549848942598,0.2628398791540786,0.17647058823529413,0.057692307692307696,0.1297134238310709,0.0,0.0513595166163142,0.24018126888217528,0.27450980392156865,0.07692307692307693,0.012066365007541479,0.0,0.04682779456193353,0.1858006042296072,0.23529411764705882,0.07692307692307693,-0.012066365007541479,0.0,0.04833836858006042,0.2628398791540786,0.23529411764705882,0.07692307692307693,0.13574660633484162,0,0,39.0,0.7647058823529411,wrong_start,0.8888888888888888,9,5,5,17.087527054279477,20.96866504503944,14.997996995482652,5,4,5926,0,92.2278196811676,61.08971858024597,30.99894618988037,51,2652,1.9230769230769231,15
