run_dir,run_name,organism,replica_count,sample_index,protein_length,num_fragments,fragment_bin,true_order_recovered,completed,shuffled_exact_match,shuffled_similarity,shuffled_edit_similarity,shuffled_adjacent_pair_acc,shuffled_longest_correct_run,shuffled_kendall_tau,deterministic_exact_match,deterministic_similarity,deterministic_edit_similarity,deterministic_adjacent_pair_acc,deterministic_longest_correct_run,deterministic_kendall_tau,control_exact_match,control_similarity,control_edit_similarity,control_adjacent_pair_acc,control_longest_correct_run,control_kendall_tau,agentic_exact_match,agentic_similarity,agentic_edit_similarity,agentic_adjacent_pair_acc,agentic_longest_correct_run,agentic_kendall_tau,oracle_exact_match,oracle_similarity,oracle_edit_similarity,oracle_adjacent_pair_acc,oracle_longest_correct_run,oracle_kendall_tau,nterm_correct,nterm_correct_shuffled,breakpoints,breakpoints_normalized,error_class,validity_concordance,validity_comparable_pairs,best_iteration,num_iterations,best_validity_score,first_pass_validity_score,control_validity_score,control_best_iteration,llm_calls,llm_tokens,llm_failures,duration_seconds,agentic_duration_seconds,control_duration_seconds,num_pruned,total_junctions,pruned_pct,num_confirmed_adjacencies
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,1,149,9,5-9,1,1,0.0,0.42953020134228187,,0.125,0.2222222222222222,0.0,0.0,0.4563758389261745,0.37583892617449666,0.375,0.3333333333333333,-0.3333333333333333,0.0,0.8187919463087249,0.6375838926174497,0.375,0.3333333333333333,0.2777777777777778,0.0,0.8187919463087249,0.6375838926174497,0.375,0.3333333333333333,0.2777777777777778,0.0,0.8187919463087249,0.6375838926174497,0.5,0.3333333333333333,0.2777777777777778,1,0,5.0,0.625,partial_assembly,0.25,4,2,5,13.584525890175842,16.441953333706543,13.584525890175842,4,4,6133,0,40.371702671051025,37.96746802330017,2.2717041969299316,8,72,11.11111111111111,2
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,2,179,8,5-9,1,1,0.0,0.6201117318435754,,0.0,0.125,-0.35714285714285715,0.0,0.5754189944134078,0.1955307262569832,0.5714285714285714,0.5,0.0,0.0,0.5754189944134078,0.1955307262569832,0.5714285714285714,0.5,0.0,0.0,0.5754189944134078,0.1955307262569832,0.5714285714285714,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,3.0,0.42857142857142855,partial_assembly,0.0,6,1,5,13.483087951684313,13.483087951684313,13.483087951684313,1,4,6099,0,36.60829949378967,33.614744424819946,2.858797311782837,7,56,12.5,5
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,3,87,7,5-9,1,1,0.0,0.6551724137931034,,0.16666666666666666,0.2857142857142857,0.047619047619047616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,exact,,0,1,5,1.0,1.0,1.0,1,4,6345,0,37.9011607170105,36.29060935974121,1.477870225906372,6,42,14.285714285714285,6
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,4,272,16,10-19,1,1,0.0,0.16176470588235295,,0.0,0.0625,-0.25,0.0,0.9044117647058824,0.8088235294117647,0.8666666666666667,0.4375,0.7666666666666667,0.0,0.9044117647058824,0.8088235294117647,0.8666666666666667,0.4375,0.7666666666666667,0.0,0.9044117647058824,0.8088235294117647,0.8666666666666667,0.4375,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.9999999999999996,0.1333333333333333,partial_assembly,0.5714285714285714,7,1,5,7.694494793100752,7.694494793100752,7.694494793100752,1,4,5842,0,38.13218808174133,32.53454613685608,5.466885805130005,15,240,6.25,11
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,5,216,17,10-19,1,1,0.0,0.2962962962962963,,0.0625,0.11764705882352941,-0.23529411764705882,0.0,0.5879629629629629,0.28240740740740744,0.625,0.4117647058823529,0.3382352941176471,0.0,0.5,0.3564814814814815,0.5625,0.29411764705882354,0.47058823529411764,0.0,0.5,0.3564814814814815,0.5625,0.29411764705882354,0.47058823529411764,0.0,0.5879629629629629,0.5324074074074074,0.625,0.4117647058823529,0.6470588235294118,1,0,7.0,0.4375,partial_assembly,0.42857142857142855,7,2,5,13.510245049012344,17.190619860674246,13.510245049012344,3,4,5950,0,40.86071515083313,35.84620022773743,4.872249126434326,16,272,5.88235294117647,12
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,6,831,52,50+,1,1,0.0,0.06257521058965103,,0.0196078431372549,0.038461538461538464,-0.02564102564102564,0.0,0.13598074608904934,0.385078219013237,0.5098039215686274,0.1346153846153846,0.23076923076923078,0.0,0.23345367027677497,0.35018050541516244,0.6666666666666666,0.1346153846153846,0.2368024132730015,0.0,0.1371841155234657,0.3513838748495788,0.6274509803921569,0.1346153846153846,0.10256410256410256,0.0,0.1552346570397112,0.4825511432009627,0.6274509803921569,0.1346153846153846,0.358974358974359,1,0,19.0,0.37254901960784315,partial_assembly,1.0,7,3,5,14.686784239506537,17.737726260237967,14.559812825733582,3,4,6022,0,104.51645636558533,76.33417344093323,28.042139053344727,51,2652,1.9230769230769231,39
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,7,326,26,20-49,1,1,0.0,0.09202453987730061,,0.08,0.07692307692307693,-0.36,0.0,0.1411042944785276,0.39877300613496935,0.56,0.19230769230769232,0.5384615384615384,0.0,0.1411042944785276,0.4141104294478528,0.56,0.19230769230769232,0.40923076923076923,0.0,0.1411042944785276,0.5337423312883436,0.52,0.19230769230769232,0.49538461538461537,0.0,0.1441717791411043,0.5337423312883436,0.56,0.19230769230769232,0.6061538461538462,1,0,12.0,0.48,partial_assembly,0.5714285714285714,7,2,5,14.975158158384335,17.209500093288945,15.4693303295331,5,4,6136,0,49.80934476852417,42.20869851112366,7.417903184890747,25,650,3.8461538461538463,13
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,8,292,18,10-19,1,1,0.0,0.11986301369863013,,0.0,0.05555555555555555,-0.09803921568627451,0.0,0.05821917808219178,0.29452054794520544,0.17647058823529413,0.1111111111111111,0.006535947712418301,0.0,0.3561643835616438,0.4212328767123288,0.5294117647058824,0.16666666666666666,0.49019607843137253,0.0,0.1780821917808219,0.5308219178082192,0.5294117647058824,0.16666666666666666,0.5947712418300654,0.0,0.3561643835616438,0.7157534246575342,0.6470588235294118,0.2777777777777778,0.7124183006535948,1,0,8.0,0.47058823529411764,partial_assembly,0.5555555555555556,9,5,5,17.76730401964475,23.19528709640595,17.865137214887472,2,4,5779,0,38.543241024017334,33.80866241455078,4.601836442947388,17,306,5.555555555555555,11
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,9,311,11,10-19,1,1,0.0,0.2057877813504823,,0.0,0.09090909090909091,-0.3090909090909091,0.0,0.6430868167202572,0.7813504823151125,0.6,0.5454545454545454,0.8181818181818182,0.0,0.6591639871382636,0.8392282958199357,0.7,0.6363636363636364,0.7454545454545455,0.0,0.6591639871382636,0.8392282958199357,0.7,0.6363636363636364,0.7454545454545455,0.0,0.6591639871382636,0.8392282958199357,0.7,0.6363636363636364,0.8181818181818182,1,0,3.0000000000000004,0.30000000000000004,partial_assembly,1.0,4,3,5,12.916518283893705,18.744132142454877,12.916518283893705,3,4,5764,0,33.714091300964355,29.77499008178711,3.8086931705474854,10,110,9.090909090909092,6
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,10,172,7,5-9,1,1,0.0,0.5465116279069767,,0.3333333333333333,0.42857142857142855,0.047619047619047616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,exact,,0,1,5,10.60242419988351,10.60242419988351,10.60242419988351,1,4,6001,0,38.41463661193848,35.520050287246704,2.761955738067627,6,42,14.285714285714285,4
