run_dir,run_name,organism,replica_count,sample_index,protein_length,num_fragments,fragment_bin,true_order_recovered,completed,shuffled_exact_match,shuffled_similarity,shuffled_edit_similarity,shuffled_adjacent_pair_acc,shuffled_longest_correct_run,shuffled_kendall_tau,deterministic_exact_match,deterministic_similarity,deterministic_edit_similarity,deterministic_adjacent_pair_acc,deterministic_longest_correct_run,deterministic_kendall_tau,control_exact_match,control_similarity,control_edit_similarity,control_adjacent_pair_acc,control_longest_correct_run,control_kendall_tau,agentic_exact_match,agentic_similarity,agentic_edit_similarity,agentic_adjacent_pair_acc,agentic_longest_correct_run,agentic_kendall_tau,oracle_exact_match,oracle_similarity,oracle_edit_similarity,oracle_adjacent_pair_acc,oracle_longest_correct_run,oracle_kendall_tau,nterm_correct,nterm_correct_shuffled,breakpoints,breakpoints_normalized,error_class,validity_concordance,validity_comparable_pairs,best_iteration,num_iterations,best_validity_score,first_pass_validity_score,control_validity_score,control_best_iteration,llm_calls,llm_tokens,llm_failures,duration_seconds,agentic_duration_seconds,control_duration_seconds,num_pruned,total_junctions,pruned_pct,num_confirmed_adjacencies
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,1,149,11,10-19,1,1,0.0,0.48322147651006714,,0.1,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,exact,,0,1,5,2.6144120771051247,2.6144120771051247,2.6144120771051247,1,4,5976,0,35.132365465164185,32.31974411010742,2.66306471824646,10,110,9.090909090909092,9
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,2,179,11,10-19,1,1,0.0,0.553072625698324,,0.2,0.18181818181818182,-0.23636363636363636,0.0,0.8938547486033519,0.7877094972067039,0.8,0.45454545454545453,0.7090909090909091,0.0,0.8938547486033519,0.7877094972067039,0.8,0.45454545454545453,0.7090909090909091,0.0,0.8938547486033519,0.7877094972067039,0.8,0.45454545454545453,0.7090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.9999999999999996,0.19999999999999996,partial_assembly,0.0,6,1,5,15.032549568546798,15.032549568546798,15.032549568546798,1,4,6217,0,36.6149365901947,32.75556516647339,3.7087528705596924,10,110,9.090909090909092,9
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,3,87,7,5-9,1,1,0.0,0.8620689655172413,,0.0,0.14285714285714285,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,exact,,0,1,5,1.0,1.0,1.0,1,4,6086,0,26.101513624191284,24.58541202545166,1.355780839920044,6,42,14.285714285714285,6
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,4,272,15,10-19,1,1,0.0,0.5110294117647058,,0.0,0.06666666666666667,-0.06666666666666667,0.0,0.7941176470588235,0.5882352941176471,0.7142857142857143,0.4,0.4857142857142857,0.0,0.7941176470588235,0.5882352941176471,0.7142857142857143,0.4,0.4857142857142857,0.0,0.7941176470588235,0.5882352941176471,0.7142857142857143,0.4,0.4857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1,0,4.0,0.2857142857142857,partial_assembly,0.0,6,1,5,9.864652172747329,9.864652172747329,9.864652172747329,1,4,6559,0,34.56439137458801,28.987926721572876,5.421103000640869,14,210,6.666666666666667,14
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,5,216,17,10-19,1,1,0.0,0.1712962962962963,,0.125,0.11764705882352941,-0.23529411764705882,0.0,0.5925925925925926,0.7685185185185185,0.6875,0.47058823529411764,0.7647058823529411,0.0,0.5925925925925926,0.8055555555555556,0.8125,0.47058823529411764,0.7794117647058824,0.0,0.5925925925925926,0.8055555555555556,0.8125,0.47058823529411764,0.7794117647058824,0.0,0.5925925925925926,0.8055555555555556,0.8125,0.47058823529411764,0.8529411764705882,1,0,3.0,0.1875,partial_assembly,1.0,7,2,5,15.57891694140319,15.885681701720475,15.57891694140319,5,4,6052,0,27.40618348121643,22.92120862007141,4.3393166065216064,16,272,5.88235294117647,17
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,6,831,51,50+,1,1,0.0,0.010830324909747292,,0.04,0.0392156862745098,0.029019607843137254,0.0,0.11070998796630566,0.36823104693140796,0.6,0.17647058823529413,0.26745098039215687,0.0,0.246690734055355,0.45126353790613716,0.74,0.21568627450980393,0.2831372549019608,0.0,0.4717208182912154,0.39831528279181705,0.78,0.23529411764705882,0.44,0.0,0.4717208182912154,0.4223826714801444,0.8,0.29411764705882354,0.44,1,0,10.999999999999998,0.21999999999999997,partial_assembly,0.7777777777777778,9,2,5,14.872995161097526,18.675224955584774,15.071787908645993,2,4,5729,0,124.94519639015198,86.85608386993408,37.93821334838867,50,2550,1.9607843137254901,49
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,7,326,30,20-49,1,1,0.0,0.1901840490797546,,0.034482758620689655,0.06666666666666667,-0.17701149425287357,0.0,0.26993865030674846,0.5306748466257669,0.6896551724137931,0.43333333333333335,0.7425287356321839,0.0,0.26993865030674846,0.3742331288343558,0.6551724137931034,0.2,0.4942528735632184,0.0,0.26993865030674846,0.33742331288343563,0.6551724137931034,0.23333333333333334,0.296551724137931,0.0,0.7055214723926381,0.8006134969325154,0.7241379310344828,0.5,0.7425287356321839,1,0,10.0,0.3448275862068966,partial_assembly,0.5555555555555556,9,2,5,17.69950277554356,20.473399279688586,17.191407729431056,3,4,6003,0,42.817866802215576,33.86214351654053,8.811340093612671,29,870,3.3333333333333335,29
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,8,292,16,10-19,1,1,0.0,0.0958904109589041,,0.0,0.0625,0.05,0.0,0.5,0.9315068493150684,0.6666666666666666,0.5625,0.7666666666666667,0.0,0.6198630136986302,0.6232876712328768,0.8666666666666667,0.5,0.75,0.0,0.6198630136986302,0.6232876712328768,0.8666666666666667,0.5,0.75,0.0,0.678082191780822,0.9315068493150684,0.8666666666666667,0.5625,0.9166666666666666,1,0,1.9999999999999996,0.1333333333333333,local_transposition,1.0,8,2,5,17.95516959269384,20.63844784243772,17.95516959269384,2,4,5723,0,32.574910163879395,27.54603600502014,4.888087511062622,15,240,6.25,16
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,9,311,12,10-19,1,1,0.0,0.028938906752411574,,0.0,0.08333333333333333,-0.21212121212121213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,exact,,0,1,5,14.342686981907054,14.342686981907054,14.342686981907054,1,4,5851,0,35.635720014572144,31.43411087989807,4.053273916244507,11,132,8.333333333333332,10
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,10,172,11,10-19,1,1,0.0,0.36627906976744184,,0.2,0.18181818181818182,0.16363636363636364,0.0,0.9941860465116279,0.9883720930232558,0.8,0.5454545454545454,0.7818181818181819,0.0,0.9941860465116279,0.9883720930232558,0.8,0.5454545454545454,0.7818181818181819,0.0,0.9941860465116279,0.9883720930232558,0.8,0.5454545454545454,0.7818181818181819,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.9999999999999996,0.19999999999999996,local_transposition,0.25,8,1,5,16.110773723115795,16.110773723115795,16.110773723115795,1,4,6463,0,35.35324478149414,31.87434220314026,3.3263580799102783,10,110,9.090909090909092,10
