run_dir,run_name,organism,replica_count,arm,arm_label,metric,metric_label,point,ci_low,ci_high,ci_method,n,confidence
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,oracle,Best Candidate (ceiling),kendall_tau,Kendall Tau,0.878812972792748,0.8278803436355939,0.9159329782408459,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,shuffled,Random Order,exact_match,Exact Match,0.03,0.010254524024038925,0.08451936429052759,wilson,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,deterministic,Fixed Settings,exact_match,Exact Match,0.17,0.1089356611405993,0.2554800476760112,wilson,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,control,Random Search (no LLM),exact_match,Exact Match,0.27,0.1926958414957634,0.36432116767944994,wilson,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,agentic,LLM-Guided,exact_match,Exact Match,0.29,0.21014835749122274,0.3853889117557111,wilson,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,oracle,Best Candidate (ceiling),exact_match,Exact Match,0.37,0.2818236053432453,0.46779470419057084,wilson,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,shuffled,Random Order,similarity,Sequence Similarity,0.3131591128330421,0.2584949926205899,0.3735200409660112,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,deterministic,Fixed Settings,similarity,Sequence Similarity,0.5051072416178171,0.4369237114047613,0.5713497755974607,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,control,Random Search (no LLM),similarity,Sequence Similarity,0.5942630289817916,0.5217868629271987,0.6607849869330089,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,agentic,LLM-Guided,similarity,Sequence Similarity,0.5767875959907138,0.5020521982796773,0.6505369833159184,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,oracle,Best Candidate (ceiling),similarity,Sequence Similarity,0.6441121645782976,0.5720947665573826,0.7117830624740409,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,shuffled,Random Order,edit_similarity,Edit Similarity,,,,bca (insufficient n),0,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,deterministic,Fixed Settings,edit_similarity,Edit Similarity,0.5692890944351728,0.5189343524194083,0.6222543268016717,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,control,Random Search (no LLM),edit_similarity,Edit Similarity,0.6486091690532797,0.5955443316858167,0.7029484805803322,bca,100,0.95
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,agentic,LLM-Guided,edit_similarity,Edit Similarity,0.662154992346142,0.6086819505578054,0.7152326083859778,bca,100,0.95
