run_dir,run_name,organism,replica_count,n_samples,shuffled_exact_match,shuffled_similarity,shuffled_edit_similarity,shuffled_adjacent_pair_acc,shuffled_longest_correct_run,shuffled_kendall_tau,deterministic_exact_match,deterministic_similarity,deterministic_edit_similarity,deterministic_adjacent_pair_acc,deterministic_longest_correct_run,deterministic_kendall_tau,control_exact_match,control_similarity,control_edit_similarity,control_adjacent_pair_acc,control_longest_correct_run,control_kendall_tau,agentic_exact_match,agentic_similarity,agentic_edit_similarity,agentic_adjacent_pair_acc,agentic_longest_correct_run,agentic_kendall_tau,oracle_exact_match,oracle_similarity,oracle_edit_similarity,oracle_adjacent_pair_acc,oracle_longest_correct_run,oracle_kendall_tau,delta_vs_control_exact_match,p_holm_vs_control_exact_match,delta_vs_control_similarity,p_holm_vs_control_similarity,delta_vs_control_edit_similarity,p_holm_vs_control_edit_similarity,delta_vs_control_adjacent_pair_acc,p_holm_vs_control_adjacent_pair_acc,delta_vs_control_longest_correct_run,p_holm_vs_control_longest_correct_run,delta_vs_control_kendall_tau,p_holm_vs_control_kendall_tau,n_significant_vs_control,delta_vs_deterministic_exact_match,p_holm_vs_deterministic_exact_match,delta_vs_deterministic_similarity,p_holm_vs_deterministic_similarity,delta_vs_deterministic_edit_similarity,p_holm_vs_deterministic_edit_similarity,delta_vs_deterministic_adjacent_pair_acc,p_holm_vs_deterministic_adjacent_pair_acc,delta_vs_deterministic_longest_correct_run,p_holm_vs_deterministic_longest_correct_run,delta_vs_deterministic_kendall_tau,p_holm_vs_deterministic_kendall_tau,n_significant_vs_deterministic,oracle_gap_exact_match,oracle_gap_similarity,oracle_gap_edit_similarity,oracle_gap_adjacent_pair_acc,oracle_gap_longest_correct_run,oracle_gap_kendall_tau,exact_match_successes,exact_match_n,p_correct_nterm,em_given_correct_nterm,em_given_wrong_nterm,mean_breakpoints,mean_breakpoints_per_join,zero_breakpoint_samples,mean_validity_concordance,concordance_comparable_pairs,mean_confirmed_adjacencies,mean_pruned_pct,cost_total_llm_calls,cost_total_llm_tokens,cost_llm_calls_per_sample,cost_llm_tokens_per_sample,cost_llm_failures,cost_seconds_per_sample,cost_agentic_seconds_per_sample,cost_control_seconds_per_sample,cost_completed,cost_true_order_recovered,junction_top1_acc,junction_mrr,trypsin_recall
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,0.01,0.2888146588969869,,0.06758137788964508,0.1361980431730338,-0.006437703432353867,0.32,0.6576948800622597,0.7250630228179148,0.7841322806198424,0.6283103947913141,0.6314771004243503,0.4,0.7083754278975569,0.7506882835344862,0.8627038359116713,0.6819282839113064,0.70500750590022,0.46,0.7650888644179336,0.7953983880328672,0.8790814919651307,0.7169015816674973,0.7532357545341375,0.64,0.8516348812577397,0.8860901999091881,0.9256016364562174,0.8195124531728506,0.878812972792748,0.06,0.0784458895213902,0.056713436520376644,0.0784458895213902,0.04471010449838108,0.021583087742328644,0.016377656053459484,0.06955510306897339,0.03497329775619093,0.0784458895213902,0.04822824863391762,0.0784458895213902,1,0.14,0.00103759765625,0.10739398435567382,2.2576668925466947e-05,0.07033536521495262,0.00103759765625,0.09494921134528839,1.2795056747449962e-07,0.0885911868761832,0.0002667318818820874,0.12175865410978727,0.0006282068888512349,6,0.18,0.08654601683980612,0.09069181187632075,0.04652014449108667,0.10261087150535317,0.12557721825861035,46,100,0.98,0.46938775510204084,0.0,2.707070707070707,0.11203889700491837,46,0.6371148459383753,476,18.2,6.575170049942001,400,613053,4.0,6130.53,0,43.01842751264572,35.82295726537704,7.04342592716217,100,100,,,
140726_132208_agentic,"Agentic Evaluation (E. coli, esm_small, r20)",E. coli,20,100,0.03,0.3131591128330421,,0.11993022002178157,0.17006701715998448,0.00026170098437770995,0.17,0.5051072416178171,0.5692890944351728,0.5855660672791442,0.4222340056668884,0.4414178510213642,0.27,0.5942630289817916,0.6486091690532797,0.7099628782125238,0.502060055531535,0.5890431486120788,0.29,0.5767875959907138,0.662154992346142,0.7338276019474196,0.5239673385135916,0.6242354006814176,0.37,0.6441121645782976,0.746153631202993,0.782593741038735,0.5821366415647087,0.7239501308521389,0.02,0.625,-0.01747543299107774,0.25054094264081783,0.013545823292862335,0.25054094264081783,0.023864723734895885,0.008561685655631202,0.02190728298205657,0.25054094264081783,0.03519225206933883,0.25054094264081783,1,0.12,0.0018310546875,0.07168035437289673,0.0008175704165322983,0.09286589791096922,2.9895574202853936e-05,0.14826153466827544,4.0599523742912424e-11,0.10173333284670318,1.645240732983666e-06,0.18281754966005337,1.5165395605976073e-07,6,0.08,0.06732456858758372,0.08399863885685098,0.04876613909131535,0.058169303051117095,0.09971473017072126,29,100,0.93,0.3118279569892473,0.0,6.25,0.26617239805258036,29,0.7498015873015873,601,12.95,7.62830816792146,400,604473,4.0,6044.73,0,49.91375550031662,42.25258981227875,7.511840660572052,100,100,,,
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,100,0.02,0.29948397874666033,,0.10123874816374137,0.15908366883334538,-0.01211067970453951,0.05,0.3908172358829242,0.44944956879993453,0.2936601059709774,0.22938370751317605,0.24830859537811883,0.09,0.4588461493407766,0.548325357835943,0.435733507180667,0.29666394156445564,0.40130489596715685,0.09,0.45306069900858037,0.5375176398215602,0.4328161390661325,0.2888589250039407,0.404279736040159,0.12,0.5143321361309886,0.6096660649788985,0.4925759811654408,0.3424390083480258,0.4871624060142715,0.0,1.0,-0.005785450332196215,1.0,-0.010807718014382784,0.6492168709699409,-0.0029173681145344852,1.0,-0.007805016560514872,0.3203906719677807,0.0029748400730021563,1.0,0,0.04,0.125,0.06224346312565616,0.0034446667807488396,0.08806807102162564,7.110377384877964e-05,0.13915603309515506,4.013056553731076e-11,0.05947521749076467,2.528603461193768e-05,0.15597114066204015,4.468575576233036e-07,5,0.03,0.06127143712240823,0.0721484251573383,0.0597598420993083,0.05358008334408508,0.08288266997411252,9,100,0.86,0.10465116279069768,0.0,10.7,0.5671838609338675,9,0.7521135265700483,667,4.76,6.290881805254345,400,595999,4.0,5959.99,0,43.756735818386076,37.78683084726334,5.821620883941651,100,100,,,
140726_171539_agentic,"Agentic Evaluation (Yeast, esm_small, r100)",Yeast,100,100,0.0,0.21278215546998738,,0.05020922676613463,0.0937270257508393,-0.030815661816220637,0.16,0.5094978151119698,0.5816741908533725,0.7034467146192706,0.44792439127012534,0.5004590020674343,0.26,0.5484838863165337,0.6333497515868423,0.7876304598599886,0.5127859170391671,0.5983615184549641,0.26,0.5473613246363237,0.6411282056405565,0.8117605096676427,0.5296980258081047,0.6240747661707043,0.35,0.6473767699025692,0.7508854823422558,0.8545520061033226,0.6226025780121252,0.7327997432155161,0.0,1.0,-0.0011225616802100116,0.7967697523245079,0.007778454053714157,0.7922046897049064,0.02413004980765411,0.008694274400370627,0.01691210876893747,0.30593839389985833,0.02571324771574031,0.7922046897049064,1,0.1,0.005227829599197209,0.03786350952435383,0.01643780136252948,0.05945401478718404,0.005227829599197209,0.10831379504837207,1.227391521751997e-10,0.08177363453797924,0.0002809081637455968,0.12361576410326999,0.003262281752984819,6,0.09,0.10001544526624553,0.10975727670169942,0.042791496435679886,0.09290455220402054,0.10872497704481177,26,100,0.93,0.27956989247311825,0.0,7.444444444444445,0.18823949033235732,26,0.6670781893004115,627,30.75,5.018607495599881,400,603129,4.0,6031.29,0,79.85384941577911,60.35542431354523,19.340002052783966,100,99,,,
140726_194805_agentic,"Agentic Evaluation (Yeast, esm_small, r20)",Yeast,20,100,0.01,0.21782283711392736,,0.06396154989504224,0.10759015956614515,0.044375415810334176,0.1,0.36823962978911434,0.46271786366884476,0.4992066189519702,0.30030700267726534,0.3240200600043678,0.15,0.40047779762762553,0.5060605261927311,0.6160656227706636,0.36129828750545706,0.42847698198655254,0.16,0.4105360462087685,0.5183178759979353,0.6416736746147094,0.37724602823089043,0.4499749762901943,0.23,0.46711753702384423,0.5995937494745722,0.6923370912037206,0.442452332620441,0.5467620313171074,0.01,1.0,0.010058248581142966,1.0,0.01225734980520423,1.0,0.02560805184404586,0.05322657201687431,0.015947740725433358,0.8354887666889965,0.021497994303641757,1.0,0,0.06,0.0703125,0.042296416419654176,0.006733352895473388,0.05560001232909059,0.0032651139322363854,0.14246705566273918,2.7045032879868813e-11,0.07693902555362508,1.1895319840249385e-07,0.1259549162858265,4.792600667080649e-05,5,0.07,0.056581490815075686,0.08127587347663683,0.05066341658901112,0.06520630438955054,0.09678705502691314,16,100,0.91,0.17582417582417584,0.0,13.93939393939394,0.3518447731164552,15,0.7510901796616083,716,23.24,5.080899472866811,400,596101,4.0,5961.01,0,82.71287921667098,63.070154576301576,19.486797411441803,100,100,,,
140726_215821_agentic,"Agentic Evaluation (Yeast, esm_small, r5)",Yeast,5,100,0.02,0.27373171921040496,,0.07122806373540513,0.11978802760127741,0.009025459373234146,0.05,0.3437131855040411,0.41384703973205283,0.27001166264162707,0.2046757726216708,0.19359261583030576,0.1,0.3549734005932698,0.44642505649458675,0.3840268372698106,0.25221577216262614,0.31003396726801813,0.11,0.36509102114941877,0.45674443304470086,0.39718926114486874,0.26557491185402854,0.3243428318173093,0.14,0.42477530666497215,0.5394357254963146,0.4492987381916983,0.3070321983612404,0.43631695490093464,0.01,1.0,0.010117620556148987,1.0,0.010319376550114091,1.0,0.013162423875058171,1.0,0.01335913969140244,1.0,0.014308864549291079,1.0,0,0.06,0.14874337564052764,0.021377835645377683,0.17449657983970956,0.04289739331264803,0.14874337564052764,0.12717759850324173,1.355289214188815e-10,0.06089913923235778,2.5863121499991593e-06,0.13075021598700348,0.00029005569199114234,3,0.03,0.05968428551555339,0.08269129245161366,0.052109477046829514,0.04145728650721183,0.11197412308362537,11,100,0.81,0.13580246913580246,0.0,21.99,0.6028107388551313,11,0.7634589947089947,709,9.97,6.2553881116616505,400,589057,4.0,5890.57,0,70.88669390678406,54.82575786113739,15.917710821628571,100,100,,,
