run_dir,run_name,organism,replica_count,n_samples,fragment_bin,arm,metric,metric_label,n_in_bin,n_usable,mean,lift_over_shuffled,shuffled_mean
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,deterministic,similarity,Sequence Similarity,28,28,0.4671839320158683,0.3739049670345681,0.09327896498130013
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,deterministic,similarity,Sequence Similarity,9,9,0.26345477987885846,0.22242223977841816,0.041032540100440267
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,control,similarity,Sequence Similarity,3,3,1.0,0.3095238095238095,0.6904761904761906
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,control,similarity,Sequence Similarity,20,20,0.9651734921532397,0.32940210058461944,0.6357713915686202
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,control,similarity,Sequence Similarity,39,39,0.7845686601471934,0.5252480035698256,0.2593206565773678
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,control,similarity,Sequence Similarity,28,28,0.5031281612806797,0.4098491962993796,0.09327896498130013
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,control,similarity,Sequence Similarity,9,9,0.3164785205657027,0.2754459804652624,0.041032540100440267
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,agentic,similarity,Sequence Similarity,3,3,1.0,0.3095238095238095,0.6904761904761906
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,agentic,similarity,Sequence Similarity,20,20,0.9651734921532397,0.32940210058461944,0.6357713915686202
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,agentic,similarity,Sequence Similarity,39,39,0.8365164080787496,0.5771957515013817,0.2593206565773678
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,agentic,similarity,Sequence Similarity,28,28,0.6040238735865279,0.5107449086052277,0.09327896498130013
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,agentic,similarity,Sequence Similarity,9,9,0.40762313591495053,0.3665905958145103,0.041032540100440267
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,oracle,similarity,Sequence Similarity,3,3,1.0,0.3095238095238095,0.6904761904761906
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,oracle,similarity,Sequence Similarity,20,20,0.9924788979136805,0.3567075063450603,0.6357713915686202
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,oracle,similarity,Sequence Similarity,39,39,0.908469244815304,0.6491485882379362,0.2593206565773678
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,oracle,similarity,Sequence Similarity,28,28,0.7883704732025578,0.6950915082212578,0.09327896498130013
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,oracle,similarity,Sequence Similarity,9,9,0.4232484855590981,0.3822159454586578,0.041032540100440267
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,shuffled,edit_similarity,Edit Similarity,3,0,,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,shuffled,edit_similarity,Edit Similarity,20,0,,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,shuffled,edit_similarity,Edit Similarity,39,0,,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,shuffled,edit_similarity,Edit Similarity,28,0,,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,shuffled,edit_similarity,Edit Similarity,9,0,,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,deterministic,edit_similarity,Edit Similarity,3,3,1.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,deterministic,edit_similarity,Edit Similarity,20,20,0.9169311248438128,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,deterministic,edit_similarity,Edit Similarity,39,39,0.7434021569467987,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,deterministic,edit_similarity,Edit Similarity,28,28,0.61162245721198,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,deterministic,edit_similarity,Edit Similarity,9,9,0.44995187356162497,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,control,edit_similarity,Edit Similarity,3,3,1.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,control,edit_similarity,Edit Similarity,20,20,0.9361534359193826,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,control,edit_similarity,Edit Similarity,39,39,0.80452166579011,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,control,edit_similarity,Edit Similarity,28,28,0.607293293003079,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,control,edit_similarity,Edit Similarity,9,9,0.4405780516844968,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,agentic,edit_similarity,Edit Similarity,3,3,1.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,agentic,edit_similarity,Edit Similarity,20,20,0.9361534359193826,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,agentic,edit_similarity,Edit Similarity,39,39,0.8456267726390411,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,agentic,edit_similarity,Edit Similarity,28,28,0.7002799847209772,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,agentic,edit_similarity,Edit Similarity,9,9,0.46994293108767987,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,oracle,edit_similarity,Edit Similarity,3,3,1.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,oracle,edit_similarity,Edit Similarity,20,20,0.984957795827361,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,oracle,edit_similarity,Edit Similarity,39,39,0.9424300679462275,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,oracle,edit_similarity,Edit Similarity,28,28,0.8399095598295615,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,oracle,edit_similarity,Edit Similarity,9,9,0.5152915276934434,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,shuffled,adjacent_pair_acc,Adjacent Pair Accuracy,3,3,0.0,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,shuffled,adjacent_pair_acc,Adjacent Pair Accuracy,20,20,0.13089285714285714,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,shuffled,adjacent_pair_acc,Adjacent Pair Accuracy,39,39,0.07065246635382383,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,20-49,shuffled,adjacent_pair_acc,Adjacent Pair Accuracy,28,28,0.041478568346342226,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,50+,shuffled,adjacent_pair_acc,Adjacent Pair Accuracy,9,9,0.024826060512294777,,
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,2-4,deterministic,adjacent_pair_acc,Adjacent Pair Accuracy,3,3,1.0,1.0,0.0
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,5-9,deterministic,adjacent_pair_acc,Adjacent Pair Accuracy,20,20,0.894047619047619,0.7631547619047618,0.13089285714285714
130726_224804_agentic,"Agentic Evaluation (E. coli, esm_small, r100)",E. coli,100,100,10-19,deterministic,adjacent_pair_acc,Adjacent Pair Accuracy,39,39,0.7634377688676331,0.6927853025138093,0.07065246635382383
