run_dir,run_name,organism,replica_count,arm,arm_label,metric,metric_label,point,ci_low,ci_high,ci_method,n,confidence
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,shuffled,Random Order,exact_match,Exact Match,0.02,0.00550196755016235,0.07001179072854388,wilson,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,deterministic,Fixed Settings,exact_match,Exact Match,0.05,0.02154367915436798,0.11175046923191911,wilson,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,control,Random Search (no LLM),exact_match,Exact Match,0.09,0.04807254000256516,0.16226212852716307,wilson,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,agentic,LLM-Guided,exact_match,Exact Match,0.09,0.04807254000256516,0.16226212852716307,wilson,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,oracle,Best Candidate (ceiling),exact_match,Exact Match,0.12,0.06999406437019488,0.19812099426711416,wilson,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,shuffled,Random Order,similarity,Sequence Similarity,0.29948397874666033,0.24809168433871376,0.3579841925922836,bca,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,deterministic,Fixed Settings,similarity,Sequence Similarity,0.3908172358829242,0.3304136670228143,0.45484784261649547,bca,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,control,Random Search (no LLM),similarity,Sequence Similarity,0.4588461493407766,0.39066337208767643,0.5272302807596563,bca,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,agentic,LLM-Guided,similarity,Sequence Similarity,0.45306069900858037,0.3845350286717317,0.5235949645885716,bca,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,oracle,Best Candidate (ceiling),similarity,Sequence Similarity,0.5143321361309886,0.4456097969034607,0.5815448933436136,bca,100,0.95
140726_144552_agentic,"Agentic Evaluation (E. coli, esm_small, r5)",E. coli,5,shuffled,Random Order,edit_similarity,Edit Similarity,,,,bca (insufficient n),0,0.95
